architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
ARM,Non-Crypto,clang,O2,aes128_ARM_clang_O2.elf,__do_global_dtors_aux,00010518,Non-Crypto,5,8,5,0,0,0.2,4.0,2,7,0,0,0,0,20,0.0,0.07191919191919191,0,30,0.2653832442067736,0.07191919191919191,0.14721330956625073,0.0,0.0,0.0,False,False,False,False,0,0,0,4,0,16,0.14035087719298245,4.680689288944334,3.145971326679435,0.25,17
ARM,AES-128,clang,O2,aes128_ARM_clang_O2.elf,aes128_encrypt,0001055c,AES-128,5,6,3,2,2,0.0036900369003690036,108.4,2,5,0,0,0,0,542,0.0,0.09700406317401569,0,1388,0.21996639423967052,0.026645014955815227,0.19754713446150113,0.050446226394853334,0.0,0.019912821823347134,False,False,False,False,0,0,340,211,214,401,0.14813126709206928,5.734048824577645,3.5586665336888017,0.005535055350553505,101
ARM,Non-Crypto,clang,O2,aes128_ARM_clang_O2.elf,main,00010e08,Non-Crypto,1,38,39,0,0,0.006944444444444444,144.0,1,5,0,0,0,0,144,0.0,0.09245283018867924,0,264,0.07924528301886792,0.033962264150943396,0.06037735849056604,0.0,0.0,0.05849056603773585,False,False,False,False,0,0,56,18,31,42,0.06037735849056604,5.062810721331181,3.703854935094693,0.2708333333333333,24
ARM,Non-Crypto,clang,O2,aes128_ARM_clang_O2.elf,_fini,00011058,Non-Crypto,1,0,1,0,0,0.0,2.0,2,1,0,0,0,0,2,0.0,0.11764705882352941,0,10,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.23529411764705882,2.75,2.895423870280316,0.5,1
ARM,Non-Crypto,clang,O3,aes128_ARM_clang_O3.elf,_init,000103ec,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,0.0,0.10526315789473684,0,10,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.21052631578947367,3.2516291673878226,3.010570934268484,0.6666666666666666,2
ARM,Non-Crypto,clang,O3,aes128_ARM_clang_O3.elf,_start,00010460,Non-Crypto,1,2,3,0,0,0.06666666666666667,15.0,1,3,0,0,0,0,15,0.0,0.043478260869565216,0,20,0.13043478260869565,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.10869565217391304,4.644106550888952,2.3524566896399377,0.2,14
ARM,Non-Crypto,clang,O3,aes128_ARM_clang_O3.elf,call_weak_fn,00010494,Non-Crypto,3,3,2,0,0,0.0,3.3333333333333335,1,4,0,0,0,0,10,0.0,0.07941176470588235,0,36,0.07254901960784314,0.052941176470588235,0.04607843137254902,0.0,0.0,0.026470588235294117,False,False,False,False,1,0,0,4,2,6,0.07272727272727272,4.5964393446710154,4.072738468960348,0.2,7
ARM,Non-Crypto,clang,O3,aes128_ARM_clang_O3.elf,deregister_tm_clones,000104b8,Non-Crypto,4,5,3,0,0,0.15384615384615385,3.25,2,5,0,0,0,0,13,0.0,0.2,0,26,0.1375,0.2,0.05,0.0,0.0,0.0,False,False,False,False,1,0,0,4,0,8,0.02857142857142857,4.209867121904035,3.1399786482181,0.23076923076923078,9
ARM,Non-Crypto,clang,O3,aes128_ARM_clang_O3.elf,register_tm_clones,000104e4,Non-Crypto,4,5,3,0,0,0.125,4.0,2,5,0,0,0,0,16,0.0,0.23629032258064517,0,57,0.09435483870967742,0.2120967741935484,0.05,0.0,0.0,0.024193548387096774,False,False,False,False,1,0,0,7,6,12,0.012987012987012988,4.6534955617749425,3.7275283797403787,0.1875,13
ARM,Non-Crypto,clang,O3,aes128_ARM_clang_O3.elf,__do_global_dtors_aux,00010518,Non-Crypto,5,8,5,0,0,0.2,4.0,2,7,0,0,0,0,20,0.0,0.07191919191919191,0,30,0.2653832442067736,0.07191919191919191,0.14721330956625073,0.0,0.0,0.0,False,False,False,False,0,0,0,4,0,16,0.14035087719298245,4.680689288944334,3.145971326679435,0.25,17
ARM,AES-128,clang,O3,aes128_ARM_clang_O3.elf,aes128_encrypt,0001055c,AES-128,5,6,3,2,2,0.0036900369003690036,108.4,2,5,0,0,0,0,542,0.0,0.09700406317401569,0,1388,0.21996639423967052,0.026645014955815227,0.19754713446150113,0.050446226394853334,0.0,0.019912821823347134,False,False,False,False,0,0,340,211,214,401,0.14813126709206928,5.734048824577645,3.5586665336888017,0.005535055350553505,101
ARM,Non-Crypto,clang,O3,aes128_ARM_clang_O3.elf,main,00010e08,Non-Crypto,1,38,39,0,0,0.006944444444444444,144.0,1,5,0,0,0,0,144,0.0,0.09245283018867924,0,264,0.07924528301886792,0.033962264150943396,0.06037735849056604,0.0,0.0,0.05849056603773585,False,False,False,False,0,0,56,18,31,42,0.06037735849056604,5.062810721331181,3.703854935094693,0.2708333333333333,24
ARM,Non-Crypto,clang,O3,aes128_ARM_clang_O3.elf,_fini,00011058,Non-Crypto,1,0,1,0,0,0.0,2.0,2,1,0,0,0,0,2,0.0,0.11764705882352941,0,10,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.23529411764705882,2.75,2.895423870280316,0.5,1
ARM,Non-Crypto,clang,Os,aes128_ARM_clang_Os.elf,_init,00010410,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,0.0,0.10526315789473684,0,10,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.21052631578947367,3.2516291673878226,3.010570934268484,0.6666666666666666,2
ARM,Non-Crypto,clang,Os,aes128_ARM_clang_Os.elf,_start,00010490,Non-Crypto,1,2,3,0,0,0.06666666666666667,15.0,1,3,0,0,0,0,15,0.0,0.043478260869565216,0,20,0.13043478260869565,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.10869565217391304,4.598652005434406,2.3524566896399377,0.2,14
ARM,Non-Crypto,clang,Os,aes128_ARM_clang_Os.elf,call_weak_fn,000104c4,Non-Crypto,3,3,2,0,0,0.0,3.3333333333333335,1,4,0,0,0,0,10,0.0,0.07941176470588235,0,36,0.07254901960784314,0.052941176470588235,0.04607843137254902,0.0,0.0,0.026470588235294117,False,False,False,False,1,0,0,4,2,6,0.07272727272727272,4.5964393446710154,4.072738468960348,0.2,7
ARM,Non-Crypto,clang,Os,aes128_ARM_clang_Os.elf,deregister_tm_clones,000104e8,Non-Crypto,4,5,3,0,0,0.15384615384615385,3.25,2,5,0,0,0,0,13,0.0,0.2,0,26,0.1375,0.2,0.05,0.0,0.0,0.0,False,False,False,False,1,0,0,4,0,8,0.02857142857142857,4.209867121904035,3.1399786482181,0.23076923076923078,9
ARM,Non-Crypto,clang,Os,aes128_ARM_clang_Os.elf,register_tm_clones,00010514,Non-Crypto,4,5,3,0,0,0.125,4.0,2,5,0,0,0,0,16,0.0,0.23629032258064517,0,57,0.09435483870967742,0.2120967741935484,0.05,0.0,0.0,0.024193548387096774,False,False,False,False,1,0,0,7,6,12,0.012987012987012988,4.6534955617749425,3.7275283797403787,0.1875,13
ARM,Non-Crypto,clang,Os,aes128_ARM_clang_Os.elf,__do_global_dtors_aux,00010548,Non-Crypto,5,8,5,0,0,0.2,4.0,2,7,0,0,0,0,20,0.0,0.07191919191919191,0,30,0.2653832442067736,0.07191919191919191,0.14721330956625073,0.0,0.0,0.0,False,False,False,False,0,0,0,4,0,16,0.14035087719298245,4.680689288944334,3.145971326679435,0.25,17
ARM,AES-128,clang,Os,aes128_ARM_clang_Os.elf,aes128_encrypt,0001058c,AES-128,19,30,13,9,2,0.05472636815920398,10.578947368421053,1,12,0,0,0,0,201,0.0,0.06904172601215777,0,730,0.13021081107947252,0.004886533363774681,0.0935004156493616,0.011265280519167814,0.0,0.05288991212921529,False,False,False,False,0,0,256,42,89,172,0.10477787091366303,5.707616863953737,4.017054894598413,0.06467661691542288,68
